hash,params,tflite_file,tflite_bytes,status
043721b9c7fe8c5fad811d47d83132ec,888202,043721b9c7fe8c5fad811d47d83132ec.tflite,955440,converted
53cee42601ad14d661bb6878031d6acb,888202,53cee42601ad14d661bb6878031d6acb.tflite,957560,converted
e4c6dbcf55cae25268c414a0bdc621ec,888202,e4c6dbcf55cae25268c414a0bdc621ec.tflite,959688,converted
d1269d9156ddc027c40473008192958a,1931146,d1269d9156ddc027c40473008192958a.tflite,2056640,converted
6bb3a5f158c57162b2a9671a1402725f,1931146,6bb3a5f158c57162b2a9671a1402725f.tflite,2058768,converted
6adf09ef60d9568b0c5ce41d788a41bc,1931146,6adf09ef60d9568b0c5ce41d788a41bc.tflite,2058768,converted
6f6257bc3b12d87b8736e81cd4b7ed8b,1767306,6f6257bc3b12d87b8736e81cd4b7ed8b.tflite,1897120,converted
278a65c91e279624407615a84f3282c4,2974090,278a65c91e279624407615a84f3282c4.tflite,3157848,converted
09fc2d10bdd6225e167a6f81a22a3f06,2810250,09fc2d10bdd6225e167a6f81a22a3f06.tflite,2996200,converted
b49ac8c578b4561d79ac7087988f1c61,10188682,b49ac8c578b4561d79ac7087988f1c61.tflite,10314176,converted
fca3d3671f135e0347cd3688f3f34cad,10188682,fca3d3671f135e0347cd3688f3f34cad.tflite,10316304,converted
3835552b2806f980e414bef37786ea06,10188682,3835552b2806f980e414bef37786ea06.tflite,10316304,converted
3407944b22d4b1d0cccbd8e070424ce4,3039882,3407944b22d4b1d0cccbd8e070424ce4.tflite,3143208,converted
c122367432b22688bc63c2f329bf5286,712074,c122367432b22688bc63c2f329bf5286.tflite,786144,converted
2f46c9d2f1cff176f34a2295c49822bc,3039882,2f46c9d2f1cff176f34a2295c49822bc.tflite,3143208,converted
76e95ff773019375ce55737d623dea78,2810250,76e95ff773019375ce55737d623dea78.tflite,2998248,converted
d0a5ff67e269a1ac4f305c618a88ac85,11231626,d0a5ff67e269a1ac4f305c618a88ac85.tflite,11415384,converted
96794a104891b22bf4f2abbdd7c3e90f,11231626,96794a104891b22bf4f2abbdd7c3e90f.tflite,11415384,converted
d32d0b26d534203b48d866facd98cc3e,11067786,d32d0b26d534203b48d866facd98cc3e.tflite,11253736,converted
71e29ecde1db1f6344801d69c75ed954,888202,71e29ecde1db1f6344801d69c75ed954.tflite,961808,converted
79ac0ca945869f05b1fc34f4110f67d3,975498,79ac0ca945869f05b1fc34f4110f67d3.tflite,1078824,converted
08677281806ea9c8ea2451ce3093e9c3,888202,08677281806ea9c8ea2451ce3093e9c3.tflite,964616,converted
852f21047c2aa03cb1fde04587083228,19489162,852f21047c2aa03cb1fde04587083228.tflite,19672920,converted
471546730eff6ba24d163061e4029d13,3853194,471546730eff6ba24d163061e4029d13.tflite,4097400,converted
683d2f0f319573826904fad060a1895a,11067786,683d2f0f319573826904fad060a1895a.tflite,11255856,converted
e7f31293566724324d3ccc875f097f01,2776458,e7f31293566724324d3ccc875f097f01.tflite,2850528,converted
90e3f5faec3240ddfee38a004cead72a,1931146,90e3f5faec3240ddfee38a004cead72a.tflite,2060888,converted
e773a7a186b03b0957d57fed0f4d014a,448650,e773a7a186b03b0957d57fed0f4d014a.tflite,493464,converted
ac9bd0e2514c031187b612db767fb038,1151626,ac9bd0e2514c031187b612db767fb038.tflite,1257296,converted
01b1828b5dca8f8444035094ec798c70,11231626,01b1828b5dca8f8444035094ec798c70.tflite,11417504,converted
0ee493fe7bb618a0ae642840558f62a0,1767306,0ee493fe7bb618a0ae642840558f62a0.tflite,1899240,converted
771a888531d1c59b6c81308ef2a8dad7,11231626,771a888531d1c59b6c81308ef2a8dad7.tflite,11417504,converted
229ad37fca0db5be24bfcce9cb434885,12110730,229ad37fca0db5be24bfcce9cb434885.tflite,12354936,converted
18e7e3d39b5b57052ca70818bd8382e4,20532106,18e7e3d39b5b57052ca70818bd8382e4.tflite,20774120,converted
2f0e3ffd9e4576589b4a0a21bf2bf01d,2974090,2f0e3ffd9e4576589b4a0a21bf2bf01d.tflite,3159968,converted
f38b7aac62ef3b0c7660c515ec9a2e67,4017034,f38b7aac62ef3b0c7660c515ec9a2e67.tflite,4259048,converted
2c8251c708c98122e003a8b7e6e1b7cc,19489162,2c8251c708c98122e003a8b7e6e1b7cc.tflite,19675040,converted
6047adcded92b5d8126a9cc34054624b,20532106,6047adcded92b5d8126a9cc34054624b.tflite,20774120,converted
47bb419c2869c624c3d65fd16d87e5be,1931146,47bb419c2869c624c3d65fd16d87e5be.tflite,2060888,converted
aed6c55f69f51f50a3ccaccfc9671bba,20532106,aed6c55f69f51f50a3ccaccfc9671bba.tflite,20774120,converted
9205f3085fe97cb7a47783c3bbc01eab,5543818,9205f3085fe97cb7a47783c3bbc01eab.tflite,5678744,converted
70cec3d45475d0428b47a6143a0c9370,11067786,70cec3d45475d0428b47a6143a0c9370.tflite,11255856,converted
b9d626506f441e7dff83e31537491aa6,11231626,b9d626506f441e7dff83e31537491aa6.tflite,11417504,converted
e5a8038201ff317594fa62c45ecd2d05,12110730,e5a8038201ff317594fa62c45ecd2d05.tflite,12354864,converted
702ddef6b5b7f659ef1ed38652d91115,2810250,702ddef6b5b7f659ef1ed38652d91115.tflite,2998320,converted
a6a4c66cdd64789c73aae44ce88ee90d,2810250,a6a4c66cdd64789c73aae44ce88ee90d.tflite,2998248,converted
66ea4e36f994d4bf11102cbef10a3cb1,12110730,66ea4e36f994d4bf11102cbef10a3cb1.tflite,12354936,converted
bb60c46f5b7c352b7900043c5ef7e0a7,2810250,bb60c46f5b7c352b7900043c5ef7e0a7.tflite,2998320,converted
3283061ebb976602b31602ffe86eef8b,11231626,3283061ebb976602b31602ffe86eef8b.tflite,11417504,converted
8810708382e7993dff9f4fb2742d3635,2974090,8810708382e7993dff9f4fb2742d3635.tflite,3159968,converted
81f5a40841c2dfc0dcad2cf76c88e80e,712074,81f5a40841c2dfc0dcad2cf76c88e80e.tflite,786144,converted
6121a9c53be4670899be1b8e2d6917f3,10188682,6121a9c53be4670899be1b8e2d6917f3.tflite,10318424,converted
485943408e2aa972c421eee9a185d7fa,2974090,485943408e2aa972c421eee9a185d7fa.tflite,3159968,converted
232b900e952d86a83b0ff85c0a22cca0,12110730,232b900e952d86a83b0ff85c0a22cca0.tflite,12354864,converted
c1dba24fc08f29b230d7d3c098c9517c,28789642,c1dba24fc08f29b230d7d3c098c9517c.tflite,29031656,converted
168e95938db8e7c52112e58c0f292079,1415050,168e95938db8e7c52112e58c0f292079.tflite,1549976,converted
