hash,params,coral_latency_ms,coral_offchip_bytes,gpu_latency_ms_median,gpu_latency_ms_min,gpu_latency_ms_p95,gpu_latency_ms_mean,gpu_n_timed,provider,status
01255ccfd5c249c23e59b1125d370908,2615080,1.0938,0,3.0052,2.6973,4.9108,3.2855,100,CUDAExecutionProvider,timed
012deff52786819c4b8ca442cc075ac9,4896138,1.6643,0,1.9558,1.7973,3.3920,2.1341,100,CUDAExecutionProvider,timed
013a977ba88a7972bed8f40b51051eb9,5775242,1.8361,0,2.1836,1.9703,3.8432,2.4347,100,CUDAExecutionProvider,timed
014722f96dcbf25ec351a10bc88871bc,2593855,1.1614,0,3.1280,2.6727,5.2759,3.4512,100,CUDAExecutionProvider,timed
016a8156059966556e79d93d1c1ace0a,2800487,1.1946,0,3.1010,2.7742,5.2774,3.4041,100,CUDAExecutionProvider,timed
016dcad6f7847b83fa79dc0231d5a6d5,3410512,1.2309,0,3.2257,2.8162,5.1641,3.5020,100,CUDAExecutionProvider,timed
01b1828b5dca8f8444035094ec798c70,11231626,8.4524,3428843,1.6779,1.5785,3.0887,2.1677,100,CUDAExecutionProvider,timed
01b6443af4ae121be7e33e9abd7f1daa,12989834,12.6492,5221908,2.7058,2.4577,4.3476,2.9695,100,CUDAExecutionProvider,timed
01e08d5b229c39f1b9d53ed89690c0fe,31754634,54.4161,23959961,4.4645,3.8877,6.4382,4.7860,100,CUDAExecutionProvider,timed
0201c8e043beffa4a4f4ddcb55fc0876,5104266,1.3985,0,2.2717,1.6424,3.7684,2.4071,100,CUDAExecutionProvider,timed
0213ed65ad672eea518d0a12474f2c95,6686346,1.6832,0,3.4394,2.4918,5.9892,3.6799,100,CUDAExecutionProvider,timed
0231bc51007e5e3ad54127eef319e4c0,3697575,1.3631,0,3.3448,2.9648,5.1006,3.5991,100,CUDAExecutionProvider,timed
02c17e732f082022a8bba0a62c6519a0,13153674,13.0541,5368709,2.7463,2.5672,4.4624,2.9749,100,CUDAExecutionProvider,timed
031c1f0c8c25ed2705bfb80539a6b602,3479434,1.3488,0,2.0042,1.8143,3.7209,2.2254,100,CUDAExecutionProvider,timed
03285238b082a745991a143294b28878,1870892,1.0207,0,2.8115,2.4139,4.8524,3.1221,100,CUDAExecutionProvider,timed
035fafd24973204e35ccb92ad464a20c,5104266,1.1668,0,1.6232,1.4516,2.9510,1.8709,100,CUDAExecutionProvider,timed
0392e8a0e2939ec313ca5c4ca0492312,1978762,0.9258,0,1.8478,1.6529,3.1903,2.0334,100,CUDAExecutionProvider,timed
03b9809587069dbdac357e57b8ff0976,3742858,1.2155,0,2.0579,1.9047,3.7111,2.2614,100,CUDAExecutionProvider,timed
03c0143660099a77958ebe78355f2044,3365952,1.4858,0,3.3486,2.8936,4.9534,3.5591,100,CUDAExecutionProvider,timed
03d84046b0ce567b2b59e85903aa2f5f,6422922,1.3763,0,2.0031,1.8515,3.6914,2.2469,100,CUDAExecutionProvider,timed
0404382a6b008f0313713a0adf913655,31590794,53.8627,23718789,4.3385,4.0171,6.1054,4.6490,100,CUDAExecutionProvider,timed
040f0b5b968c899f85671d96eeb43c10,11231626,8.6899,3502243,1.8350,1.7034,3.0634,2.0151,100,CUDAExecutionProvider,timed
043721b9c7fe8c5fad811d47d83132ec,888202,0.3898,0,0.4776,0.4142,0.9600,0.5484,100,CUDAExecutionProvider,timed
04a50cabdbd9327c5a9cd2426e95fc9f,1591178,0.8893,0,1.3213,1.2279,2.5482,1.5085,100,CUDAExecutionProvider,timed
05437333d52f605fd717faa8bf950542,20532106,29.1975,12635340,2.7216,2.4926,4.1451,2.9754,100,CUDAExecutionProvider,timed
056315d7cf3e923b7c183ed40921722d,8135050,1.9347,166400,2.6484,2.4138,4.1905,2.8813,100,CUDAExecutionProvider,timed
05932f264e5efffbbc8ec56d786d930f,20532106,29.3866,12750684,2.9989,2.7841,4.5380,3.2416,100,CUDAExecutionProvider,timed
05da7d72a9bd37624c59ecc2a3dfc38f,13317514,13.2593,5494538,2.2843,2.1045,3.7363,3.1159,100,CUDAExecutionProvider,timed
0613b92e3d1d46b3d29fcf00d44072c6,12274570,11.1705,4445962,2.5000,2.2841,3.9267,2.6720,100,CUDAExecutionProvider,timed
0648c8fbdf36f125c1f0580e5a713f5a,7695498,1.7197,0,2.4772,2.2385,4.1571,2.8092,100,CUDAExecutionProvider,timed
0654ed6d7181262f3d079ce95db83fb7,4709258,1.2329,0,2.1167,1.9602,3.8967,2.3562,100,CUDAExecutionProvider,timed
06648f11e4c7ba76457d113f0d3501e1,13153674,12.8400,5368709,2.6099,2.3880,4.1654,2.8311,100,CUDAExecutionProvider,timed
076175c02ee6af358f26fc51a966a1bd,712074,1.0628,0,1.9608,1.4115,3.5695,2.1923,100,CUDAExecutionProvider,timed
0789c1b90c28464af3c753f95b28613d,538894,0.8141,0,3.1654,2.1153,5.1007,3.3857,100,CUDAExecutionProvider,timed
083ee66bbaafd65732757ced69e68dc5,4182410,1.3392,0,3.0396,2.1935,4.8079,3.2686,100,CUDAExecutionProvider,timed
08677281806ea9c8ea2451ce3093e9c3,888202,0.6044,0,1.4794,0.9437,3.0361,1.6824,100,CUDAExecutionProvider,timed
08f1aa9d78d7a077b3691e61b60cc315,7861130,1.8553,0,2.5627,2.1371,4.7098,2.9135,100,CUDAExecutionProvider,timed
0934382716064e95d27691330b30253c,5104266,1.5886,0,2.2005,1.9262,3.8480,2.4231,100,CUDAExecutionProvider,timed
093c374abde96ff2195a516ed51d8930,1978762,0.9442,0,2.0411,1.7991,3.7115,2.3412,100,CUDAExecutionProvider,timed
0970f440a3f00ae09ecdb6f5d27540e3,7871626,1.9013,23040,2.8550,2.4151,4.6879,3.2173,100,CUDAExecutionProvider,timed
09cc2e6a3bb766ba617fa99236c5ff4f,21411210,31.5160,13704888,3.3516,2.8803,4.7968,3.5441,100,CUDAExecutionProvider,timed
09fc2d10bdd6225e167a6f81a22a3f06,2810250,0.8278,0,1.0485,0.9373,1.9328,1.1904,100,CUDAExecutionProvider,timed
0a3bcce1bdb5ad9e9809e6dae4ef451d,3479434,1.1307,0,1.8954,1.5951,3.3204,2.1293,100,CUDAExecutionProvider,timed
0a717117beece9157e67f6eb75517763,2205322,0.9177,0,2.0446,1.8148,3.8640,2.3578,100,CUDAExecutionProvider,timed
0a8388379b342a251a517c221111ac11,7871626,1.8853,23040,2.6329,2.3234,4.5164,2.9348,100,CUDAExecutionProvider,timed
0aa38cacf8f33fe81fe44d932636e9f2,8398474,2.1307,434688,3.2676,2.7135,5.0525,3.5177,100,CUDAExecutionProvider,timed
0ace73d4e8bea738c3d1acdf72de0c3a,31426954,53.8793,23666360,4.5206,4.1477,6.2416,4.8210,100,CUDAExecutionProvider,timed
0b08e23e6e8b9337416ee884a50d577a,946570,0.7274,0,1.6031,1.4013,3.5578,1.9325,100,CUDAExecutionProvider,timed
0b192a7077200e1888810a75d49754f3,4182410,1.3635,0,2.0648,1.8865,3.9385,2.3890,100,CUDAExecutionProvider,timed
0b311d4cc1e30b4e6643be185f501b28,12110730,10.5408,4393533,2.2269,2.0331,3.6451,2.4726,100,CUDAExecutionProvider,timed
0b4c894ca3edffb49c77ea258aa3f72e,6510218,1.5059,0,2.3419,2.0516,3.6182,2.5757,100,CUDAExecutionProvider,timed
0b6b76b6f2150440bf717d660b3fd567,2030730,1.1554,0,1.8306,1.6231,3.3421,2.0871,100,CUDAExecutionProvider,timed
0bc81d0ab8d29c89e00e8795ea66bcad,14196618,15.1845,6427770,2.6101,2.3360,4.4182,2.9174,100,CUDAExecutionProvider,timed
0c7938a14731a85d2fd0aca298eda074,12110730,10.6256,4320133,2.5657,2.2716,4.2252,3.0695,100,CUDAExecutionProvider,timed
0c89700597ad3662c85d1a1457ca94c2,7432074,1.8343,0,2.4076,2.1699,3.9347,2.6321,100,CUDAExecutionProvider,timed
0cc9426bf35e6e110d77bb8fbca177ba,10188682,6.4392,2453667,1.7054,1.5914,2.7890,1.8655,100,CUDAExecutionProvider,timed
0cd5aff4e3f44ec7fd0cdea0b25cbcc5,6070666,1.4283,0,2.3799,2.1285,4.1799,2.7301,100,CUDAExecutionProvider,timed
0d3c0ce16a90c0d50618769f2547c8f2,20368266,28.9283,12415139,3.0022,2.8018,4.6797,3.2803,100,CUDAExecutionProvider,timed
0d90a5d14d815418d08a5a53d9f0bad2,4521276,1.5709,0,3.7129,3.2712,5.6058,4.0956,100,CUDAExecutionProvider,timed
0da761dba61a8ddaa4458e24c94abffc,2776458,1.3503,0,1.9623,1.6577,3.5893,2.1803,100,CUDAExecutionProvider,timed
0dee31cc5fa22a286f00a90c2dc8f8ee,19489162,27.2311,11691622,2.8312,2.6642,4.1746,3.0730,100,CUDAExecutionProvider,timed
0e1593a94de5bc5e0ebff96ebe4e7304,16118666,19.2955,8262778,3.1141,2.8753,5.0762,3.4480,100,CUDAExecutionProvider,timed
0e29b0f85d696cc300af5b65c7ea264d,31754634,54.4842,23959961,4.0849,3.8716,5.7785,4.3867,100,CUDAExecutionProvider,timed
0e31775732548b0c90d80a6bd2f9154d,10023306,5.4945,2055208,2.7193,2.4765,4.5830,3.0806,100,CUDAExecutionProvider,timed
0e46dc003e269edef361afacbb1dfec7,2151197,1.0852,0,3.0523,2.5595,5.0961,3.3967,100,CUDAExecutionProvider,timed
0ea046bd83ad24242aa4e1ed1090a073,11067786,8.4877,3271557,2.3947,2.2207,4.0847,2.6558,100,CUDAExecutionProvider,timed
0ed8f83666e1fb7f79ca02bdde890d2d,1013770,0.6799,0,1.6336,1.4737,3.2614,1.8563,100,CUDAExecutionProvider,timed
0ee493fe7bb618a0ae642840558f62a0,1767306,0.9718,0,1.0611,0.9642,2.0140,1.1997,100,CUDAExecutionProvider,timed
110619da4fafebfc831b21d26343a230,1578289,0.8676,0,2.4657,2.2102,4.1210,2.7086,100,CUDAExecutionProvider,timed
115c3dfab6fd1231dd465ca5a0d5b507,3303306,0.8219,0,1.4115,1.2917,2.6740,1.6349,100,CUDAExecutionProvider,timed
11ce5773627a6bc429030308a0a119ff,5543818,1.2243,0,1.8672,1.6476,3.5250,2.1570,100,CUDAExecutionProvider,timed
11f2e9e8dbc0f211fde593054d04225a,31754634,54.2350,23886561,4.2704,3.8989,5.7942,4.4869,100,CUDAExecutionProvider,timed
126ea449e5bc5ea4428d138c5c5ff41d,3525514,1.8986,0,2.1660,1.9254,4.0685,2.4157,100,CUDAExecutionProvider,timed
1285fc826d8c65dc92f132f21565d83e,38090122,68.7811,30272389,4.4118,4.1582,5.8765,4.6677,100,CUDAExecutionProvider,timed
12f87ffb6565d759e00d7536ae4b5200,5543818,1.5818,0,2.3361,2.0976,4.2115,2.6323,100,CUDAExecutionProvider,timed
1301d79cd7922fa516eea152b69b1aca,2664111,1.2127,0,3.1495,2.7906,5.2721,3.5140,100,CUDAExecutionProvider,timed
139eaf391eac2a81db1f8c2c773217bf,3031497,1.1462,0,3.3539,2.8872,5.1523,3.6168,100,CUDAExecutionProvider,timed
13e677d747f01fcad4c15aa4b6d86c96,6862474,1.8659,0,2.7143,2.4526,4.4825,3.0045,100,CUDAExecutionProvider,timed
1484414f42c86d8c9715aea5385d6725,6862474,1.8225,0,2.7337,2.4368,4.4961,3.0180,100,CUDAExecutionProvider,timed
1499a73e3b84789ad556ca8303455065,24376202,37.9901,16588472,3.6795,3.3676,5.5125,3.9954,100,CUDAExecutionProvider,timed
15392df31d78737912a7fb12485d4cd6,2974090,1.0153,0,1.1616,1.0501,2.0994,1.2855,100,CUDAExecutionProvider,timed
1583dcc40be576ec7008f126e6e81512,5775242,1.6862,0,2.1001,1.8844,3.7940,2.4045,100,CUDAExecutionProvider,timed
1596fd1ef512a1f2e0d53a5f56881d8c,3918986,1.2242,0,2.1840,1.9284,3.7021,2.4409,100,CUDAExecutionProvider,timed
15ab0e32f80a8c849f3059558d6870ef,12989834,12.6006,5211422,2.8471,2.6463,4.4595,3.0949,100,CUDAExecutionProvider,timed
15cb16810ae9474dee310a1eb9328967,3071395,1.2495,0,3.3232,2.9181,5.6711,3.6847,100,CUDAExecutionProvider,timed
16145ce8a1a7ec9c0cc956d794267763,3487287,1.4565,0,3.2745,2.8054,5.3064,3.5807,100,CUDAExecutionProvider,timed
16225523801005dd8ea21f1ef27c0310,13868938,14.7228,6102712,3.0990,2.8448,5.0137,3.4210,100,CUDAExecutionProvider,timed
167e7c85c4a65b87b0fd985096f55495,22290314,33.2070,14522777,3.5940,3.3386,5.5709,3.9947,100,CUDAExecutionProvider,timed
168e95938db8e7c52112e58c0f292079,1415050,0.4827,0,1.1752,1.0189,2.1737,1.3661,100,CUDAExecutionProvider,timed
16a0f01729c0044e29933500d3355681,6070666,1.2728,0,2.0619,1.8701,3.5160,2.2463,100,CUDAExecutionProvider,timed
17231e3e4bdb695ba7f4938fe4bb313f,1300746,0.6958,0,1.8775,1.6870,3.3312,2.1473,100,CUDAExecutionProvider,timed
173b06d79e4c725a3c7bb7d2d1a05177,2794695,1.1689,0,3.2257,2.7571,5.1189,3.5368,100,CUDAExecutionProvider,timed
174c06f72389faa51a6b8153b87fd380,12989834,12.7739,5284823,2.5839,2.3399,4.2059,2.8371,100,CUDAExecutionProvider,timed
178a4448e12d9f02821df3b4993a5897,22454154,33.6802,14648606,3.3914,3.1296,4.8032,3.5975,100,CUDAExecutionProvider,timed
17fd2abaf102f70113324aa2e536f8c4,1978038,0.9815,0,3.0988,2.6849,5.5831,3.3756,100,CUDAExecutionProvider,timed
1861cea8716fd7bebbd36446e7c95ea5,5807242,1.6011,0,2.3419,2.0945,4.0276,2.6364,100,CUDAExecutionProvider,timed
1864812c899522d96a54dec5a4625e45,1749642,0.8201,0,2.0539,1.7979,3.9093,2.3781,100,CUDAExecutionProvider,timed
18717f525fd1554aea7a0ec9907b633a,1740447,1.0712,0,2.9396,2.5786,4.7592,3.1719,100,CUDAExecutionProvider,timed
188ca2126f2621e2f367864d15117356,5807242,1.5317,0,2.3070,2.0092,3.6867,2.5623,100,CUDAExecutionProvider,timed
18e7e3d39b5b57052ca70818bd8382e4,20532106,28.7881,12635340,2.4287,2.2668,3.2830,2.5836,100,CUDAExecutionProvider,timed
18f0bea6e38607c88b03a8b2ba7bcc8e,4017034,1.1452,0,1.4228,1.2244,2.8119,1.5962,100,CUDAExecutionProvider,timed
19a7627b5a32093b415f7837ab27e5cd,3365427,1.4262,0,3.2247,2.8397,5.0249,3.5129,100,CUDAExecutionProvider,timed
1a23d766bc88a66c08a77daa62511899,11946890,10.1983,4152360,2.2537,2.0530,3.8022,2.4633,100,CUDAExecutionProvider,timed
1a2c54fe9e8c032f910a50333346e317,1458454,0.9891,0,2.6297,2.3279,4.9477,2.9612,100,CUDAExecutionProvider,timed
1ae5551b973f460743db65219af7898c,12110730,10.6644,4288675,2.2116,2.0444,3.5935,2.4280,100,CUDAExecutionProvider,timed
1afab1094896c3d6eee4534861682aea,3534199,1.2763,0,3.3094,2.8122,5.4212,3.6532,100,CUDAExecutionProvider,timed
1afd00395ec69ed9f63948e25b6b3fe9,3039882,1.0984,0,1.7560,1.4818,3.3767,1.9996,100,CUDAExecutionProvider,timed
1b52eedea10c86e566841c87ddfe4125,2619709,1.1401,0,2.9212,2.5795,4.7791,3.1925,100,CUDAExecutionProvider,timed
1b907c229ed015b3f2ef1a17ed706709,6070666,1.4938,0,2.4467,2.1580,4.1976,2.7063,100,CUDAExecutionProvider,timed
1c14688f9132dec0c53d90f9480c8527,3014829,1.1270,0,3.3163,2.8950,5.1020,3.6814,100,CUDAExecutionProvider,timed
1c5e924cca660d3ff445a2f34da5e7d9,3704544,1.3194,0,3.5528,3.0560,5.7804,3.9649,100,CUDAExecutionProvider,timed
1ca7a0759b04e3e871b9391849ff5914,2776458,0.9342,0,1.2925,1.1588,2.7406,1.5505,100,CUDAExecutionProvider,timed
1d32ff28746ec3f856ff5b2103ff8c87,10199434,5.8436,2233466,3.0540,2.6796,4.7285,3.3644,100,CUDAExecutionProvider,timed
1d51417872db404b98002772ce6918ef,12274570,10.9746,4372561,2.4610,2.2264,3.5166,2.6018,100,CUDAExecutionProvider,timed
1dc1e82eea097075a9e046d10b419a42,14032778,14.5903,6155141,3.1338,2.7394,4.9523,3.4663,100,CUDAExecutionProvider,timed
1dc4b0379b65b432b148aeed88fc6504,2857003,1.3491,0,3.2010,2.8397,5.0524,3.4871,100,CUDAExecutionProvider,timed
1e174f53f1f1ab7f67f3117c88f06469,31590794,54.3889,23907532,4.3080,3.9647,6.1505,4.6131,100,CUDAExecutionProvider,timed
1e3dad61a43e8ea069745069f68062e3,7432074,1.6325,0,2.1869,1.9285,4.0950,2.4311,100,CUDAExecutionProvider,timed
1e7a78da6c7fdcd80c785c167a962a25,6334090,1.4571,0,2.4676,2.2270,4.2535,2.7610,100,CUDAExecutionProvider,timed
1eac8b63b3ed0ebddd37682e7d2b30d4,4006282,1.2654,0,2.1941,1.9722,3.9936,2.6197,100,CUDAExecutionProvider,timed
1ec8f6c2cee11678ee2390c9a260756d,5631114,1.4351,0,2.2103,2.0054,3.7439,2.4138,100,CUDAExecutionProvider,timed
1ecb5011982f7afbbe77f62781d9890a,22126474,32.5729,14187233,3.8105,3.4869,5.4602,4.0745,100,CUDAExecutionProvider,timed
1eedce0cf2d0b9e046f262a7348bd5a4,1941898,0.9015,0,1.9325,1.7542,3.6594,2.2441,100,CUDAExecutionProvider,timed
1eeeb1ba375ad89b28edc6e8b86d2b95,5367690,1.4699,0,2.1685,1.9403,3.8869,2.4006,100,CUDAExecutionProvider,timed
1f5dd39f87696e1919815c0f2bfe69fc,14360458,15.2453,6480199,2.5883,2.3783,4.3896,2.8153,100,CUDAExecutionProvider,timed
1f7d9e17259b6fbd22a3f062aee0707f,23333258,35.7182,15571353,3.5835,3.2797,5.2782,3.8660,100,CUDAExecutionProvider,timed
1f941406ab56a639aa09655485551228,1007260,0.8734,0,2.5067,2.1990,4.4371,2.7800,100,CUDAExecutionProvider,timed
1fe74490deafa6dc78260f94be11881d,22290314,33.2425,14533263,3.6695,3.3341,5.1301,3.8933,100,CUDAExecutionProvider,timed
20259ceb22b0ddbdc2fa770958593602,1757765,1.0469,0,2.7264,2.4226,4.8591,3.0676,100,CUDAExecutionProvider,timed
20eb3079cc47b71a42078650fef10acb,6686346,1.7624,0,2.6139,2.3077,4.3984,2.9373,100,CUDAExecutionProvider,timed
2105e2560b24d9f593f378f60564da62,1813801,0.9272,0,2.8955,2.5249,5.0320,3.1662,100,CUDAExecutionProvider,timed
21441e79b8e2987920db18e3db6dbe26,6773642,1.5550,0,2.7995,2.4620,4.4257,3.0744,100,CUDAExecutionProvider,timed
2149da2d47575fcb253d4999f2b5e97c,12825994,12.3511,5117050,2.9510,2.7273,4.5455,3.1769,100,CUDAExecutionProvider,timed
216b95c163d04dd694c711adfcb33a2f,1415050,0.9781,0,1.6404,1.4666,3.1588,1.9340,100,CUDAExecutionProvider,timed
21ba5b8c49bac5132d4b27d0a52309e9,4621962,1.3840,0,2.2872,1.9819,4.1280,2.6638,100,CUDAExecutionProvider,timed
21fc7949ccbefbbaaa879490155fce24,5543818,1.6382,0,2.2564,2.0852,4.0881,2.5191,100,CUDAExecutionProvider,timed
2287179716f9f737509e545a72935d73,14196618,14.9031,6322913,2.8510,2.5837,4.8181,3.1520,100,CUDAExecutionProvider,timed
229ad37fca0db5be24bfcce9cb434885,12110730,10.1009,4152360,1.9644,1.8173,3.2154,2.1291,100,CUDAExecutionProvider,timed
23210bc67e4905db94d53ca2faa94683,6818186,1.8427,0,2.3486,2.0739,4.0501,2.6115,100,CUDAExecutionProvider,timed
232b900e952d86a83b0ff85c0a22cca0,12110730,10.3978,4278190,1.9254,1.8089,3.0944,2.1152,100,CUDAExecutionProvider,timed
2353fb48bc457d282a97ca0952fe81cc,30547850,51.8113,22775070,3.9935,3.6339,6.0226,4.4263,100,CUDAExecutionProvider,timed
23c627ab1005986bc302013e636f74b7,12274570,10.6935,4372561,2.4327,2.2028,4.0955,2.6463,100,CUDAExecutionProvider,timed
23d302b91df3ec80c544842601aa257e,422188,0.7396,0,1.9361,1.6368,3.5007,2.1710,100,CUDAExecutionProvider,timed
23f8555ecc00f016e990ecc73ea974b7,6686346,1.6939,0,2.7076,2.4871,4.5177,3.0327,100,CUDAExecutionProvider,timed
243037e12607b17d7f6704fcee4054af,1327754,0.8608,0,1.1778,1.0606,2.2148,1.3393,100,CUDAExecutionProvider,timed
246b7cbd9e3cf0a489eaf9c4a1da7259,15075722,17.3551,7319060,3.0547,2.7536,5.0053,3.3061,100,CUDAExecutionProvider,timed
24a787a1d9370b2a4774f02d5ec9c4d3,3830154,1.0992,0,2.0843,1.8558,3.8220,2.3937,100,CUDAExecutionProvider,timed
24c4c721360d64daac9dd571817d6f6b,3742858,1.2881,0,2.1220,1.8785,4.2275,2.4454,100,CUDAExecutionProvider,timed
25096dc2986f9bd17a2d1ec37f88cfdf,15075722,16.9783,7151288,2.9640,2.7496,4.6791,3.2085,100,CUDAExecutionProvider,timed
250c5f63f0a4a985e704c8b6b34fd6ef,8750730,3.1283,912896,2.8979,2.5265,5.0674,3.3359,100,CUDAExecutionProvider,timed
254b3c11e4f6b7efff630810abcfb911,830972,0.8821,0,2.7303,2.2684,4.3714,2.9894,100,CUDAExecutionProvider,timed
2570684e6c93beef23eba988fc127e25,12110730,10.5622,4320133,2.2674,2.0518,3.8276,2.5190,100,CUDAExecutionProvider,timed
257bbcabebeac5cf4a05d90f7c40e153,8574602,2.3899,610304,2.4619,2.2471,4.1026,2.7118,100,CUDAExecutionProvider,timed
25a0e9ef34153e7ebbc2859b240a8aa4,3689354,1.9413,0,2.0443,1.8265,3.9351,2.3424,100,CUDAExecutionProvider,timed
25b8b63322b04bdb25b851c263b2dc42,6070666,1.4266,0,2.3502,2.1395,4.0984,2.6422,100,CUDAExecutionProvider,timed
25f9518d1d78d0afa6973598504514c1,3303306,1.0746,0,1.6278,1.4830,3.4509,1.8780,100,CUDAExecutionProvider,timed
2606681fe3610e3e4daf4995c9080417,2032000,1.0762,0,3.0354,2.5320,4.7533,3.2655,100,CUDAExecutionProvider,timed
2626b5c0d77a00273062ab96adf47b64,3303306,1.2364,0,1.8808,1.6840,3.2831,2.1139,100,CUDAExecutionProvider,timed
26ba0d72dc61765a22e3a27a93a358a2,4445834,1.2917,0,2.4302,2.1650,4.2824,2.7527,100,CUDAExecutionProvider,timed
273858a4ae59fff330b62302797c3060,5104266,1.2789,0,1.6805,1.4874,3.3706,1.9086,100,CUDAExecutionProvider,timed
276d9b262722e4cb6391dc9fed698aa7,24376202,37.6712,16515072,3.8168,3.4644,5.3861,4.1459,100,CUDAExecutionProvider,timed
2777d15efdb2babf660108adf41b5c58,2727241,1.1002,0,3.2466,2.8000,5.7058,3.6521,100,CUDAExecutionProvider,timed
27869617a9bfc0da5f109c84c4a939c7,21411210,31.4785,13641973,3.3648,3.1060,4.9822,3.6111,100,CUDAExecutionProvider,timed
278a65c91e279624407615a84f3282c4,2974090,0.7141,0,0.8792,0.7952,1.6032,0.9606,100,CUDAExecutionProvider,timed
2796f1f6b3bc126233b45ddecb92ff18,1988123,1.0100,0,3.0747,2.5640,5.1861,3.4823,100,CUDAExecutionProvider,timed
27dc55892a49a9dd4fc9732c25d8fbcc,10462858,6.3758,2495610,3.2554,2.7811,5.1462,3.5618,100,CUDAExecutionProvider,timed
28087cc5e605205e2d53e79eb4b22942,14196618,14.9909,6322913,2.5390,2.3432,4.0491,2.7536,100,CUDAExecutionProvider,timed
281a90bd259878c4e3a6812d68e0bc4b,3039882,1.2906,0,1.8308,1.6417,3.6559,2.0651,100,CUDAExecutionProvider,timed
2828eef801200e5557e3024786e8ec74,6686346,1.7806,0,2.7078,2.3115,4.5724,3.0672,100,CUDAExecutionProvider,timed
287b525d274fd684528ed557aa9e6b11,5807242,1.4211,0,2.2387,1.9830,4.1890,2.5487,100,CUDAExecutionProvider,timed
28986004b1d5902d97878e6a72802dc9,2456616,1.2147,0,2.7893,2.3995,4.6512,3.0208,100,CUDAExecutionProvider,timed
2a0e13ead6ab55828814b273435fc75e,31590794,53.8109,23676846,4.3241,4.0381,6.1718,4.6653,100,CUDAExecutionProvider,timed
2a3d57754e3da2cec361d4b21d05c911,5807242,1.5226,0,2.1821,2.0173,3.9491,2.4588,100,CUDAExecutionProvider,timed
2a5ecf52cbbc72f82e9d3f85f3899354,2784332,1.1945,0,3.3033,2.8132,5.5495,3.6319,100,CUDAExecutionProvider,timed
2a922a7a0697d6ce64e8d578155b0c0d,8311178,2.1738,390656,2.9059,2.5828,4.5724,3.1987,100,CUDAExecutionProvider,timed
2a9de05ff1fb55ac3c8e8700b6945372,23497098,35.8332,15634268,3.3669,3.1283,5.1491,3.6772,100,CUDAExecutionProvider,timed
