npu_study\onnx\ff77f2263d52b6f331a9aa3566825d0e.onnx quantization quantization info,2026-08-03 08:25:10
quantization stage,time consumed(s),sub stage,time consumed(s)
,,calibration: collect data (onnx inference + numpy statistics),13.89
pre process,3.73
,,calibration: collect data (onnx inference + numpy statistics),17.43
,,calibration: compute data,43.41
calibration (collect data + compute data),55.45
static quantization,0.94
post process(including finetuning),0.00
e2e,58.48040719999699

Node Name,Op Type,Activation,Weights,Bias
nasbench_model_1/stem_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v5_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m0_v3_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m0_v5_add_1/Add_1,Add,UINT8,,
nasbench_model_1/s0_m0_v5_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_out_concat_1/concat,Concat,UINT8,,
nasbench_model_1/s0_m1_v5_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m1_v3_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m1_v5_add_1/Add_1,Add,UINT8,,
nasbench_model_1/s0_m1_v5_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_out_concat_1/concat,Concat,UINT8,,
nasbench_model_1/s0_m2_v5_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m2_v3_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m2_v5_add_1/Add_1,Add,UINT8,,
nasbench_model_1/s0_m2_v5_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_out_concat_1/concat,Concat,UINT8,,
nasbench_model_1/downsample1_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m0_v5_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m0_v3_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m0_v5_add_1/Add_1,Add,UINT8,,
nasbench_model_1/s1_m0_v5_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_out_concat_1/concat,Concat,UINT8,,
nasbench_model_1/s1_m1_v5_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v3_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v2_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m1_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m1_v5_add_1/Add_1,Add,UINT8,,
nasbench_model_1/s1_m1_v5_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_out_concat_1/concat,Concat,UINT8,,
nasbench_model_1/s1_m2_v5_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v3_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v2_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m2_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m2_v5_add_1/Add_1,Add,UINT8,,
nasbench_model_1/s1_m2_v5_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_out_concat_1/concat,Concat,UINT8,,
nasbench_model_1/downsample2_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m0_v5_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v3_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v2_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m0_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m0_v5_add_1/Add_1,Add,UINT8,,
