hash,params,onchip_used_bytes,offchip_streamed_bytes,total_ops,mapped,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_mean,n_timed,status
c6d2c8dc6db7566e4e547ffea6e12a8f,1941898,2002780,0,95,TRUE,0.9153,0.8674,0.9582,0.9171,100,timed
852f21047c2aa03cb1fde04587083228,19489162,7906263,11649679,32,TRUE,26.7819,26.6631,27.0189,26.8090,100,timed
e712e30e0a5c50fb6df76f10c96b8252,6510218,6574571,0,95,TRUE,1.6456,1.6012,1.7722,1.6657,100,timed
ecf18a19fed3f12b6f516182dca9710e,975498,1021440,0,77,TRUE,0.8370,0.7981,0.9360,0.8533,100,timed
0789c1b90c28464af3c753f95b28613d,538894,707840,0,92,TRUE,0.8141,0.7662,0.8977,0.8261,100,timed
80fb4464d0ab82d5f124d228ffd9507c,6246794,6312427,0,104,TRUE,1.6565,1.6197,1.7366,1.6673,100,timed
16145ce8a1a7ec9c0cc956d794267763,3487287,5211422,0,95,TRUE,1.4565,1.4178,1.6376,1.4821,100,timed
c122367432b22688bc63c2f329bf5286,712074,752640,0,41,TRUE,0.5132,0.4809,0.5842,0.5219,100,timed
6064491c87b641562dd0291d38f6f1b3,2621011,3271557,0,77,TRUE,1.0457,1.0142,1.1731,1.0633,100,timed
8857e90db260c3ae832eb1d3ad1d2337,22290314,8021606,14365491,104,TRUE,33.1040,32.8747,33.2958,33.1184,100,timed
2c751a7023a29f5c4e0b9d47e3db010d,2118026,2181038,0,95,TRUE,1.0123,0.9606,1.1035,1.0207,100,timed
cdf42d3c39a6595331d0bc651928d3f9,7695498,7748976,0,77,TRUE,1.6517,1.5961,1.8478,1.6938,100,timed
702ddef6b5b7f659ef1ed38652d91115,2810250,2873098,0,50,TRUE,0.9991,0.9408,1.2839,1.0323,100,timed
9f5bc44b235f5109da1a85ae01eb0b08,10023306,7906263,2181038,68,TRUE,5.4527,5.3726,5.6136,5.4699,100,timed
b0af3f069c5cb289a89d7bccd621845e,14032778,7853834,6270484,104,TRUE,14.8987,14.8134,15.0546,14.9244,100,timed
8413eea4b2037cf27f6a9755759bac6a,2160896,2726297,0,98,TRUE,1.0324,1.0002,1.0575,1.0337,100,timed
c374fe5bbb3c9760aa59c669272bbf1a,6070666,6134169,0,77,TRUE,1.2912,1.2602,1.4325,1.3065,100,timed
