hash,params,coral_latency_ms,coral_offchip_bytes,npu_latency_ms_median,npu_latency_ms_min,npu_latency_ms_p95,npu_latency_ms_mean,npu_n_timed,status
01255ccfd5c249c23e59b1125d370908,,,,5.2927,4.8456,6.5488,5.4722,100,timed
012deff52786819c4b8ca442cc075ac9,,,,5.7114,4.6931,6.3850,5.6978,100,timed
013a977ba88a7972bed8f40b51051eb9,,,,6.0323,5.0795,6.7676,5.9992,100,timed
014722f96dcbf25ec351a10bc88871bc,,,,5.5220,4.7608,6.4163,5.5305,100,timed
016a8156059966556e79d93d1c1ace0a,,,,5.9874,5.0734,6.4402,5.9323,100,timed
016dcad6f7847b83fa79dc0231d5a6d5,,,,5.9069,4.9590,6.3096,5.7812,100,timed
01b1828b5dca8f8444035094ec798c70,,,,3.4305,3.1130,4.1455,3.5475,100,timed
01b6443af4ae121be7e33e9abd7f1daa,,,,6.2992,5.4134,7.3299,6.3400,100,timed
01e08d5b229c39f1b9d53ed89690c0fe,,,,7.1610,6.7091,8.6250,7.4174,100,timed
0201c8e043beffa4a4f4ddcb55fc0876,,,,3.8819,3.2541,4.4352,3.8563,100,timed
0213ed65ad672eea518d0a12474f2c95,,,,5.9324,5.2402,6.5614,5.8844,100,timed
0231bc51007e5e3ad54127eef319e4c0,,,,6.3782,5.5644,7.5664,6.3872,100,timed
02c17e732f082022a8bba0a62c6519a0,,,,5.6409,5.3775,6.7748,5.8833,100,timed
031c1f0c8c25ed2705bfb80539a6b602,,,,4.3092,4.2078,4.9961,4.4229,100,timed
03285238b082a745991a143294b28878,,,,5.6915,5.1182,6.5985,5.7500,100,timed
035fafd24973204e35ccb92ad464a20c,,,,2.7012,2.6101,3.1643,2.7666,100,timed
0392e8a0e2939ec313ca5c4ca0492312,,,,3.7146,3.1738,4.5279,3.7508,100,timed
03b9809587069dbdac357e57b8ff0976,,,,4.3567,4.0914,5.0981,4.4615,100,timed
03c0143660099a77958ebe78355f2044,,,,5.5950,5.3994,6.4837,5.7636,100,timed
03d84046b0ce567b2b59e85903aa2f5f,,,,3.9048,3.2491,4.9079,3.8443,100,timed
0404382a6b008f0313713a0adf913655,,,,7.9542,7.3314,9.0885,8.0229,100,timed
040f0b5b968c899f85671d96eeb43c10,,,,3.7705,3.6850,4.9681,4.0844,100,timed
043721b9c7fe8c5fad811d47d83132ec,,,,0.7959,0.7631,0.9596,0.8168,100,timed
04a50cabdbd9327c5a9cd2426e95fc9f,,,,3.2257,2.8826,4.0602,3.3271,100,timed
05437333d52f605fd717faa8bf950542,,,,5.4738,4.6398,6.1085,5.3876,100,timed
056315d7cf3e923b7c183ed40921722d,,,,5.2321,4.5641,5.6819,5.1632,100,timed
05932f264e5efffbbc8ec56d786d930f,,,,6.4529,5.4651,7.3450,6.4333,100,timed
05da7d72a9bd37624c59ecc2a3dfc38f,,,,4.9367,4.3293,5.1726,4.8050,100,timed
0613b92e3d1d46b3d29fcf00d44072c6,,,,5.1824,4.9339,6.1856,5.4418,100,timed
0648c8fbdf36f125c1f0580e5a713f5a,,,,5.0254,4.0796,5.2676,4.8406,100,timed
0654ed6d7181262f3d079ce95db83fb7,,,,4.7923,3.8685,4.9451,4.6935,100,timed
06648f11e4c7ba76457d113f0d3501e1,,,,6.3764,5.2028,6.6145,6.2707,100,timed
076175c02ee6af358f26fc51a966a1bd,,,,4.9097,3.6109,5.8268,4.8330,100,timed
0789c1b90c28464af3c753f95b28613d,,,,5.0982,4.1953,5.5624,5.0527,100,timed
083ee66bbaafd65732757ced69e68dc5,,,,4.6045,4.5185,5.1712,4.7645,100,timed
08677281806ea9c8ea2451ce3093e9c3,,,,2.2336,2.1949,2.3648,2.2573,100,timed
08f1aa9d78d7a077b3691e61b60cc315,,,,5.4153,4.7971,5.5319,5.3160,100,timed
0934382716064e95d27691330b30253c,,,,4.0724,3.9427,4.6650,4.2741,100,timed
